quote,author,category
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"attributed-no-source, best, life, love, mistakes, out-of-control, truth, worst"
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,"dance, heaven, hurt, inspirational, life, love, sing"
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,"attributed-no-source, dreams, love, reality, sleep"
A friend is someone who knows all about you and still loves you.,Elbert Hubbard,"friend, friendship, knowledge, love"
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches","darkness, drive-out, hate, inspirational, light, love, peace"
We accept the love we think we deserve.,"Stephen Chbosky, The Perks of Being a Wallflower","inspirational, love"
It is better to be hated for what you are than to be loved for what you are not.,"André Gide, Autumn Leaves","life, love"
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.","John Green, The Fault in Our Stars",love
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage"
"Love all, trust a few, do wrong to none.","William Shakespeare, All's Well That Ends Well","do-wrong, love, trust, wrong"
Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,"Neil Gaiman, The Kindly Ones",love
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed"
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.","Sarah Dessen, The Truth About Forever",love
Love is that condition in which the happiness of another person is essential to your own.,"Robert A. Heinlein, Stranger in a Strange Land","essential, happiness, love"
"You love me. Real or not real?""I tell him, ""Real.","Suzanne Collins, Mockingjay","katniss, love, peeta, suzanne-collins, the-hunger-games"
"Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.","William Shakespeare, A Midsummer Night's Dream",love
"Love is like the wind, you can't see it but you can feel it.","Nicholas Sparks, A Walk to Remember","love, simile"
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,"attributed-no-source, girls, love"
"You don't love someone because they're perfect, you love them in spite of the fact that they're not.","Jodi Picoult, My Sister's Keeper","imperfect, love"
"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.","Robert Fulghum, True Love","love, weirdness"
"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anaïs Nin,"death, love"
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.","Jane Austen, Northanger Abbey","friendship, love"
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,"attributed-no-source, love"
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,"friendship, love"
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.","Jess C. Scott, The Intern","desire, emotion, friendship, honesty, imagination, individuality, life, love, passion, reality, relationships, romance, truth, wisdom, wise-words"
"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.""After all this time?""""Always,"" said Snape.","J.K. Rowling, Harry Potter and the Deathly Hallows","dumbledore, life, love, snape"
To die will be an awfully big adventure.,"J.M. Barrie, Peter Pan","adventure, love"
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.","Jane Austen, Pride and Prejudice","humor, love, romantic, women"
